Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15609.77722,16653.71378,19673.3901
Antigua and Barbuda,,,,,,,,,,,,,,,,,,1208.677164,1366.092143,1688.309351,2025.474682,2271.831926,2519.803144,2784.737233,3187.981492,3703.786816,4488.196018,5239.458329,6230.466815,6895.386079,7255.406303,7569.969001,7721.763119,8129.144121,8788.013323,8440.034526,9079.481212,9556.832802,10029.47775,10379.1604,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,14774.03218,15136.84111,14977.07183,15451.49524,15985.54114,16449.05915,16803.87023,18133.8226,18730.0048,15224.85859,17178.54372,19919.72669
Australia,1810.597443,1877.600224,1854.64189,1967.108991,2131.3803,2281.011956,2343.81979,2580.110592,2724.130672,2991.385947,3304.83782,3495.141627,3949.372987,4770.618658,6482.831082,7003.74418,7486.592781,7775.496821,8252.655904,9294.359247,10208.65201,11853.51382,12778.92792,11515.62292,12421.47387,11441.1933,11391.65505,11650.80119,14284.52069,17834.21056,18248.94071,18859.40796,18623.79174,17699.55774,18129.40219,20448.12197,22021.78391,23646.62305,21479.1142,20712.66978,21870.41597,19695.72974,20301.84317,23718.13385,30836.73068,34479.76793,36595.70715,41051.61207,49701.28178,42816.5674,52147.02419,62609.66072,68078.04423,68198.41934,62558.24388,56758.8692,49918.79393,53954.55349,57273.52048,55049.57192,51868.24756,60697.24544,65099.84591
Austria,935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2058.769051,2380.978458,2924.048879,3890.722419,4630.757197,5285.620724,5678.386658,6810.627685,8205.468977,9793.765348,10869.54649,9385.249064,9410.347257,9537.40742,8991.06504,9172.09676,13083.07266,16392.76952,17578.61894,17468.94614,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50067.58573,48789.49785,53517.89045,52084.6812
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.271893,734.9442328,60.23512054,209.5309545,157.0635499,314.5580191,409.1855438,505.5162042,561.9068079,573.8935287,655.0972496,703.6709986,763.1088955,883.6925807,1045.013633,1578.36733,2472.957257,3851.330152,5574.468104,4950.39949,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7762.073829
Burundi,71.36022425,72.08878213,73.94200799,78.94826929,85.96472463,50.99042022,51.80864008,54.45030509,54.64746568,55.54377512,69.39510892,70.58552337,68.95532974,85.21464379,94.33346268,112.2861073,117.0518785,139.4132637,151.0679915,189.1259412,213.2534354,215.7876028,220.1570099,229.1177255,203.85983,232.4118246,238.3569167,219.3713007,205.3179193,207.2919501,206.4449283,208.6567234,188.5811668,168.9640756,165.5859347,168.6271677,146.5361825,164.2334457,148.0895426,130.7530239,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.188541,166.2762452,170.7068765,194.7106346,204.5447556,222.6605832,236.4513475,238.2059453,241.5476657,257.8185574,289.3596272,242.5395273,244.1454222,232.0606166,216.9729709,216.8274175,221.1578034,259.0250314
Belgium,1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2765.890997,3082.927989,3831.6319,4900.962201,5733.798139,6701.377361,7243.047341,8426.946959,10289.76842,11810.61588,12864.00257,10622.80248,9343.8611,8846.234298,8457.268803,8750.818513,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.7214,45609.00349,51850.39718,49926.82543
Benin,90.03583131,92.37485987,91.17139232,96.25466428,100.4680879,105.9668557,108.6282266,107.6828616,112.477968,111.6952729,110.34695,108.4947186,129.9996252,156.2803494,168.0122658,200.3343118,201.8329072,211.4928824,255.3923874,317.8204176,366.5295266,327.5650353,312.6932125,262.5773397,244.8443675,236.6105861,293.5596321,333.2231189,335.3419231,301.6849308,381.8050563,375.2919957,310.6237201,398.6130273,269.7905869,358.822987,380.5882869,355.1420718,372.8773466,541.7022593,502.9979811,508.3474477,564.3790577,698.4087773,784.1190751,805.9046853,837.1320025,944.6431721,1098.946679,1061.71836,1009.489495,1099.414311,1112.569536,1214.295565,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.885995,1240.733155,1360.911474,1302.851036
Burkina Faso,69.08319533,72.17376618,77.07733384,78.82908619,80.83385981,81.99352681,82.7592154,84.55949129,84.91932571,86.71511681,81.68773209,84.5179878,99.66706567,114.2185237,124.8115374,153.1288228,155.7549905,176.2974696,224.328553,259.0365069,278.195452,249.2854633,239.6194956,212.4869881,188.3357611,194.5678909,248.0928701,280.9527058,301.9534887,294.0437243,339.6318225,334.759654,349.7081076,325.1536665,187.8151379,229.83266,243.5269235,224.6113439,250.4139444,293.8874446,249.8020757,260.4434731,286.7537149,363.818352,405.4512764,442.9444306,457.3420749,516.7503285,621.8902718,603.8775456,627.2703957,727.6124745,733.9728796,762.3037801,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604,823.5524109,888.7810788,830.0371503
Bangladesh,84.82533719,92.85511294,95.04780522,96.55221002,94.86755768,100.9678759,106.8557235,116.7963205,116.9405348,128.6079261,133.1429452,127.9954527,90.67836556,113.6657027,171.5262053,260.3515161,132.4574854,123.5144934,166.0064224,190.0357917,216.109852,235.0383907,209.1957418,193.4093731,202.2878488,232.1658218,221.5696191,241.7949085,258.8305348,274.3894278,294.9046524,283.3822853,284.9669776,292.4253474,292.0788195,322.0873898,387.3848632,395.3180524,401.9651801,404.4861431,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.520945,776.8595769,856.3818868,876.8180104,973.7739043,1108.514957,1236.004392,1659.962496,1815.610262,1963.412492,2122.078397,2233.305901,2457.924039,2688.305501
