Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,502.9979811,508.3474477,564.3790577,698.4087773,784.1190751,805.9046853,837.1320025,944.6431721,1098.946679,1061.71836,1009.489495,1099.414311,1112.569536,1214.295565,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.885995,1240.733155,1360.911474,1302.851036
Burkina Faso,249.8020757,260.4434731,286.7537149,363.818352,405.4512764,442.9444306,457.3420749,516.7503285,621.8902718,603.8775456,627.2703957,727.6124745,733.9728796,762.3037801,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604,823.5524109,888.7810788,830.0371503
Bangladesh,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.520945,776.8595769,856.3818868,876.8180104,973.7739043,1108.514957,1236.004392,1659.962496,1815.610262,1963.412492,2122.078397,2233.305901,2457.924039,2688.305501
Bulgaria,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9447.655897,9874.336326,10148.3424,12219.34187,13974.44925
Bahrain,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23433.18724,26850.00339,30146.92503
"Bahamas, The",24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.39366,26955.78893,28203.35568,29724.95334,29675.53589,30708.98702,31483.97884,32279.01136,23998.26802,28260.43255,31458.30081
Bosnia and Herzegovina,1332.210217,1382.76746,1602.564039,2031.402483,2451.577301,2741.080175,3170.174783,3936.931747,4846.790941,4542.311673,4506.932352,4980.904688,4688.345823,5025.241753,5196.970084,4654.60862,4917.263766,5327.392304,6024.49315,6094.724823,6095.104237,7230.198838,7568.79848
Belarus,1276.280381,1244.373185,1479.380663,1819.526531,2378.337005,3126.071767,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.290143,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7888.263711
Belize,4720.168218,4708.294937,4844.228574,4937.089905,5123.596214,5236.365426,5486.831434,5717.92962,5665.966232,5352.095987,5399.062096,5519.339008,5635.521526,5865.470902,6031.548402,6098.60008,6099.957102,6049.391948,6001.024262,6134.215233,5185.15807,6060.968223,6984.21696
Bermuda,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,111774.6691,118774.7907
Bolivia,977.3294177,930.8756843,888.198576,892.3553416,951.9516229,1018.313725,1200.068042,1351.035182,1687.578497,1725.146286,1922.058571,2304.982462,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.023002,3600.121635
Brazil,3726.811669,3142.23514,2824.715413,3056.649798,3623.224462,4773.268551,5866.023414,7323.191594,8801.757876,8569.902547,11249.29189,13200.55623,12327.5131,12258.56571,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149,6923.699912,7696.78483,8917.674911
Barbados,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.6365,17219.02123,17551.85504,16309.88601,16494.24304,16902.49232,16704.92438,16923.59092,16964.75226,17023.69436,17381.36509,17881.56325,18271.25225,19063.10229,16882.50152,17507.46799,20238.78424
Brunei Darussalam,17971.89229,16437.42204,16817.23887,18521.36613,21839.26362,25991.21401,30767.75383,32337.27437,37427.54006,27497.54687,34609.71198,46139.10758,46844.19734,43950.04546,41035.77712,30681.43397,26762.03504,28186.98674,31240.50179,30748.30924,27179.35289,31448.91275,37152.47697
Bhutan,722.8267562,765.0092366,841.3663133,951.7391705,1050.133107,1201.433648,1299.631259,1714.031085,1780.112232,1768.745945,2194.125876,2491.273439,2470.072151,2409.440006,2589.89916,2695.636924,2879.546564,3427.173845,3389.777303,3564.598772,3181.339747,3560.197705,3803.956306994725
Botswana,3351.696517,3115.679,3029.788362,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848752,4938.249906,6041.732051,7080.778643,6392.987347,6436.603319,6844.03325,5869.737579,6411.551666,6705.341062,6947.817841,6691.161053,5875.070606,7238.796098,7738.878804
Central African Republic,243.8775801,242.5757268,253.4106704,283.6753481,309.1902428,317.8776779,340.4145171,388.4777717,446.2287704,452.9222365,459.7769818,515.2095035,525.867504,352.2268549,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531,435.4692478,461.137511,427.0580962
Canada,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46374.15275,43562.43583,52515.19984,55522.44569
Central Europe and the Baltics,3952.111287,4352.728509,4937.124851,5949.802685,7176.509046,8355.865939,9469.733136,12009.67771,14577.94561,12307.63568,12607.86047,13964.09383,13075.40262,13667.03547,14142.31873,12526.59301,12783.18084,14223.33868,16078.20726,16349.94583,16297.9641,18814.14582,19420.96441
Switzerland,38865.02194,39638.79111,42458.73847,49335.74563,54659.45715,56242.89336,59011.03246,64989.15533,74175.19279,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93259.90572
Channel Islands,44318.2211,42678.27703,45279.64194,49428.30976,57200.46646,58550.65717,63665.31535,75148.34944,57775.579958964896,42146.21752661218,29404.901149907735,17114.28814696889,9066.332754541387,17147.906324706146,29972.127874281043,47834.32607500945,58093.99606,57683.8939,62316.21995,61281.32722,57339.52687,67960.727,67816.84419585018
Chile,5102.968761,4610.592695,4477.187853,4823.257421,6185.303785,7560.543671,9418.274924,10456.83238,10797.04737,10204.55885,12764.59312,14637.75617,15397.78046,15842.15916,14675.15087,13567.35722,13788.24002,15034.05843,15820.03336,14632.69031,13173.78479,16240.60778,15355.47974
China,959.3604313,1053.112314,1148.514257,1288.637491,1508.667916,1753.414192,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12720.21632
Cote d'Ivoire,986.7773528,974.779985,1020.950492,1173.063882,1267.764823,1267.087311,1303.564967,1451.232531,1683.337505,1638.804684,1654.177959,1701.704641,1649.301615,1903.054229,2124.01943,1941.581898,1999.195372,2113.341525,2295.540335,2290.787379,2349.069882,2613.378893,2486.412194
Cameroon,700.1632362,706.9842175,780.2705532,976.5193035,1119.980862,1129.357979,1177.968605,1311.002964,1476.009079,1445.860249,1383.813865,1497.926585,1433.723928,1559.139049,1631.713985,1399.675336,1426.065481,1479.862222,1594.06011,1538.687912,1539.130545,1654.257037,1563.48894
"Congo, Dem. Rep.",392.6263338,148.4471235,168.9448053,167.9815754,187.856781,211.5726297,247.5419356,277.6120796,317.8892101,290.1556751,324.8277261,376.3749811,412.7762605,444.8643576,472.2662357,482.0645686,456.0279506,451.0890885,546.2125932,575.8827814,524.6666862,576.9747294,653.6562231
"Congo, Rep.",1029.960689,859.4400125,910.8697108,1023.088496,1314.411281,1810.588942,2116.868943,2219.912307,2848.653163,2283.949872,2962.762481,3415.062374,3753.860928,3719.651036,3623.80746,2455.34791,2107.503024,2227.720139,2715.243105,2508.944783,2011.269479,2540.473212,2649.225022
Colombia,2546.850214,2465.007012,2421.162104,2305.170507,2811.459451,3448.538323,3782.603496,4762.083068,5534.689447,5245.951584,6392.758026,7392.9436,8096.80151,8263.641929,8167.472842,6228.651622,5936.261022,6449.970987,6782.03792,6436.509215,5304.289129,6182.707099,6624.165393
Comoros,654.1804308,691.041978,761.9478882,959.2289876,1090.427169,1103.195417,1155.085675,1289.79485,1454.650909,1409.106673,1384.063284,1526.832638,1483.951559,1595.989819,1608.687875,1322.936775,1357.266229,1414.586689,1531.337811,1510.797323,1519.58678,1577.470841,1484.892465
Cabo Verde,1176.707258,1208.457609,1311.214581,1693.978552,1900.888465,1972.784926,2220.098175,3268.305696,3839.863636,3592.315879,3500.977468,3880.069205,3583.461725,3757.659953,3739.278279,3169.078901,3312.696745,3534.343575,3860.454808,3903.050317,3126.399859,3398.165376,3754.304794
Costa Rica,3773.033793,3941.598643,4021.425361,4123.506487,4376.080428,4643.45857,5188.361792,6055.086779,6841.91146,6737.860751,8147.243985,9137.455101,9971.651656,10633.26655,10737.67888,11529.95517,11899.81398,12118.13362,12383.14995,12669.34115,12179.25667,12604.04884,13365.3564
Caribbean small states,5249.445256,5369.247282,5595.375998,5939.335621,6453.849871,7249.387121,8193.45371,9053.713355,10223.19683,8592.666277,9271.400098,9967.736396,10464.82698,10560.26139,10730.90339,10484.86996,9805.586748,10101.69834,10378.90576,10405.80321,8846.494092,10174.38409,12639.70462
Cuba,2752.203783,2844.244437,3007.193074,3205.688398,3403.296163,3791.873006,4336.87333,4814.854876,4992.824494,5094.437562,5275.532601,6106.006792,6467.337914,6814.243844,7117.535735,7683.740254,8055.925868,8543.330067,8831.910409,9139.38051,9499.572504,10121.7093315953,10522.199441912293
Cayman Islands,-229.844969938191,7310.645031650772,15639.503781177304,20893.658839499716,30523.054810380825,48367.48609602565,87184.51214,89960.68373,89704.22361,81398.32263,76873.19428,75435.61422,75466.13655,75685.35737,76610.64846,77295.84529,78858.28026,81255.11246,85231.77425,89846.32122,83897.50544,88475.60047,99624.88544
Cyprus,14388.34766,14821.44727,16093.21484,20252.23828,23792.62109,24959.25977,26729.32422,31244.92578,35397.36328,32109.24219,31023.26758,32395.75391,28910.74609,27727.53516,27162.32227,23408.44141,24605.34961,26608.69531,29335.04688,29420.0,28281.42578,32745.84375,32048.24023
Czechia,6029.038193,6637.041657,8060.868703,9818.568493,11749.85266,13430.6699,15261.79759,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26822.51419,27226.61564
Germany,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46805.13843,46749.47623,51426.75037,48717.99114
Djibouti,742.8656972,747.7791229,749.0816325,771.3742316,813.8979436,852.8901883,907.8179438,980.0310324,1131.635726,1164.251683,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2921.738706,3062.551482,3136.112768
Dominica,4879.149773,4991.764173,4881.138793,5016.088237,5354.799195,5304.126097,5677.051175,6126.849496,6661.465047,7109.978253,7182.400203,7288.497948,7054.875977,7240.679119,7502.12091,7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7668.158132,8351.193213
Denmark,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60836.59241,69268.6518,67790.05399
Dominican Republic,2845.846553,2953.247844,3085.517811,2399.498091,2468.43679,3903.815207,4080.045739,4676.079051,5053.330285,5002.15317,5509.568034,5859.381524,6049.471587,6171.295127,6533.670911,6838.936746,7191.069703,7513.497982,7947.159331,8173.344699,7167.914974,8476.749639,10111.24571
Algeria,1780.376063,1754.582361,1794.811114,2117.048229,2624.795232,3131.32819,3500.134594,3971.803488,4946.564017,3898.478788,4495.921476,5473.281826,5610.733282,5519.777576,5516.22944,4197.419985,3967.200647,4134.936087,4171.790388,4021.983266,3354.153164,3700.314697,4342.637968
East Asia & Pacific (excluding high income),955.5730041,1007.182303,1104.863858,1239.931728,1425.996654,1638.497931,1957.902518,2456.497244,3085.009824,3320.357065,4012.172398,4863.69578,5376.652825,5881.992431,6292.357183,6500.07275,6592.555408,7151.338608,7944.814368,8172.023756,8262.990946,9813.002261,9954.276857
Early-demographic dividend,1376.474839,1341.120206,1281.869412,1400.995368,1601.383201,1834.302136,2062.451644,2401.724807,2665.453435,2527.253484,3015.332652,3274.592048,3375.021425,3373.558109,3440.554275,3227.845551,3278.241801,3498.575677,3493.678564,3521.644206,3242.515083,3727.933835,4104.085948
East Asia & Pacific,4090.205734,3769.366034,3796.963533,4142.70425,4610.316676,4882.171443,5136.277377,5697.906607,6523.257863,6664.918385,7726.909712,8893.522785,9436.836164,9468.669123,9695.923458,9586.061906,9856.581539,10454.52433,11312.90436,11484.41727,11487.31134,13138.72467,12930.69168
Europe & Central Asia (excluding high income),1788.405047,1766.924416,2024.520453,2552.669444,3380.645015,4272.29492,5231.248434,6719.059342,8294.111109,6468.612409,7790.257411,9624.482205,10211.12023,10762.52806,9914.029044,7486.327414,7075.874655,7900.555316,8025.155608,8153.193434,7477.878431,8912.814076,10379.77294
Europe & Central Asia,11666.7625,11770.0946,12864.99675,15598.21344,18127.11536,19224.01045,20748.23554,24164.77255,26486.3676,23197.37733,23635.81009,26146.8901,25096.86442,26100.94614,26348.26949,22588.58857,22411.24208,23688.05766,25276.81944,24892.39355,24021.79603,27420.81343,27536.81293
Ecuador,1451.530885,1904.81367,2184.209244,2438.343684,2703.565671,3014.310009,3340.840903,3579.032244,4260.433184,4240.702593,4640.246344,5202.656459,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871,6391.282484
"Egypt, Arab Rep.",1398.859831,1327.096518,1144.532398,1056.937209,1016.253884,1133.105461,1332.33941,1586.472921,1941.899973,2212.218148,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2439.967284,2531.200079,3017.258336,3571.556907,3886.722498,4295.407496
Euro area,20005.4377,20251.30728,22002.82943,26945.25391,30728.99604,31669.98636,33508.19132,38396.2686,42016.47449,38272.74333,37303.16163,40329.09106,37290.42689,38805.90558,39593.96215,34117.72416,34888.74169,36877.96222,39753.12491,38902.82478,37914.8578,42527.84271,40787.5643
Spain,14749.68742,15369.00116,17106.68658,21510.83625,24907.00085,26429.15094,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.94659,29077.18206,29513.65118,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26984.29628,30488.82095,29674.54429
Estonia,4070.609024,4505.858332,5341.628947,7203.523038,8914.103557,10412.64431,12639.40007,16744.58445,18204.96648,14711.73527,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122,28247.09599
Ethiopia,122.9616597,119.2618573,110.4608747,117.8601647,134.5424863,160.0767918,191.7512925,240.347972,320.8610897,373.8939587,335.4384953,348.0013483,458.5509208,490.7924784,557.5341484,630.3126194,705.6175085,755.7526443,758.2976945,840.4496013,918.6525941,925.0006976,1027.585911
European Union,16947.75559,17198.04222,18759.69802,22967.93241,26307.19803,27341.73086,29089.71015,33587.35453,37044.03814,33480.55364,32965.58296,35767.08274,33169.1181,34564.58255,35282.0273,30487.15617,31174.03387,33090.6344,35751.57258,35079.5343,34356.57462,38721.07794,37433.27845
Fragile and conflict affected situations,862.3774539,838.2858204,804.5110767,825.8508095,1013.492076,1243.407163,1504.994518,1792.331015,2220.917223,2002.368231,2315.19272,2118.066951,2310.811136,2338.7183,2428.073361,1890.48128,1742.893121,1805.793771,1852.318463,1919.783251,1700.985671,1779.313291,1870.337198
Finland,24345.91482,24967.79252,26997.75299,32927.68029,37772.17811,39054.85044,41222.602,48476.39273,53772.79424,47481.48454,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49169.71934,53504.69365,50871.93045
Fiji,2015.857496,1964.130204,2157.076596,2680.270749,3124.607389,3406.475592,3483.597185,3793.097385,3928.921739,3184.689123,3469.149643,4160.721193,4359.7924,4586.955211,5305.064432,5105.189612,5368.433492,5825.199665,6073.394579,5927.724208,4815.689148,4656.051341,5356.164396
France,22416.42542,22449.33969,24288.27002,29627.92426,33797.16244,34768.1759,36470.21284,41557.62356,45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39179.74426,43671.30841,40886.25327
Faroe Islands,23370.77378,25089.59265,27238.02553,31691.88008,35940.96086,36440.3222,41762.68985,48365.73506,51431.9731,47410.95563,48167.66751,51786.48099,50157.05879,55560.13303,60126.12564,52726.68738,56833.91654,59328.23766,62576.80164,63203.74478,62234.96868,69108.20658,66979.27732
"Micronesia, Fed. Sts.",2088.209544,2152.52528,2165.48682,2195.187156,2155.78169,2256.011357,2298.636458,2344.403462,2420.749006,2598.403604,2760.01134,2885.441249,3023.585446,2920.700863,2928.448782,2891.322103,3022.653627,3320.354976,3623.329337,3734.994927,3639.412699,3588.759933,3713.955362
Gabon,3991.157151,3844.561349,3976.646796,4724.254798,5483.144575,6570.963265,6873.453983,8036.919956,9732.226533,7325.909513,8399.597348,10273.79844,9348.514876,9250.081115,9255.368035,7090.454634,6722.198223,6975.695192,7694.906051,7523.862281,6680.082665,8635.797144,8820.347337
United Kingdom,28280.92679,27906.5695,30077.74143,34442.68754,40366.88867,42104.78844,44512.45903,50397.6855,47396.12021,38744.13169,39598.95712,42109.64188,42497.3405,43426.29814,47439.61659,44964.39114,40985.23514,40572.12148,43203.81411,42662.53537,40217.00901,46869.75906,46125.25575
Georgia,749.908535,801.9838371,853.5261719,1010.031516,1305.047486,1642.783594,1996.020133,2635.366503,3324.753721,2822.689397,3233.219752,4021.75523,4421.930712,4623.884714,4739.276913,4014.111651,4062.126978,4356.928016,4722.042423,4696.150586,4255.742993,5023.274384,6674.95696
Ghana,253.3802932,263.1701414,297.0469704,357.8479826,405.4249018,477.6010928,904.1695278,1047.199428,1178.955877,1044.004989,1258.964197,1501.059171,1536.619635,2282.407501,1942.921869,1711.271317,1900.397674,1998.722666,2180.029684,2167.92544,2176.576218,2422.085913,2203.558935
Guinea,359.28667,335.0142929,343.9345943,392.8798442,405.6960598,321.3386333,452.2761597,657.9934738,712.0994161,670.2612536,667.2816019,644.5025487,707.9676782,757.6922726,774.5690396,756.4255898,720.4732552,843.4642792,944.4172687,1043.899886,1073.659339,1189.175999,1515.167948
"Gambia, The",544.6209611,464.6396362,379.8624179,310.9570684,596.6292865,618.9598135,615.9739283,725.0922849,857.8582399,772.1249338,796.6318292,705.4774953,686.5575577,647.3855346,561.6496346,611.6712191,640.6762653,632.0010242,683.3246328,722.8753563,704.0304628,772.1514505,808.2782815
Guinea-Bissau,301.495571,312.2535665,324.9699,362.9061593,394.995798,425.4718887,418.902079,480.4386022,583.2683059,543.5624692,542.2841012,683.534476,598.5726262,616.1599287,605.1225465,585.9570126,642.6663901,718.2457378,781.6443676,730.6114323,710.258133,795.118605,775.8289657
Equatorial Guinea,1527.056378,2031.419386,2395.845119,3146.518575,5337.614389,9502.858816,11140.19017,13776.90333,19849.71777,14398.77049,14905.51458,18659.41602,18756.42503,17644.5943,16804.92493,9788.983804,8035.307666,8410.39798,8719.18687,7317.390024,6198.942524,7406.084975,7182.265382
Greece,12072.92936,12549.03689,14177.57216,18518.37884,21995.47794,22560.14729,24821.93675,28863.97329,32127.98319,29828.75602,26716.64883,25483.88256,21912.99829,21787.78776,21616.71001,18083.87791,17923.96681,18582.08934,19756.99046,19143.88762,17617.29151,20310.68248,20867.26909
Grenada,4840.684064,4821.784995,4992.441407,5435.151806,5470.603315,6308.665042,6295.281172,6790.63408,7343.44527,6810.440318,6760.974884,6775.749278,6900.765076,7205.254765,7726.378262,8379.621847,8849.513535,9309.261296,9574.310271,9887.920742,8437.536782,9010.5128,9689.0827
Greenland,19004.00384,19275.43397,20652.8417,27459.87533,32023.68205,32489.72773,35458.2543,39780.94414,44366.78587,44918.84138,43988.52803,47186.876,45936.95628,47535.48838,50485.22441,44536.35497,48181.74535,50765.74947,54545.13586,53309.20359,54693.07668,57116.29577,48478.75550380589
Guatemala,1664.307748,1550.361747,1682.994501,1737.879287,1859.099299,2068.488206,2251.078784,2490.747828,2802.451582,2651.831744,2852.557593,3228.038278,3355.034777,3522.767429,3779.626205,3994.629085,4173.281349,4454.024509,4485.752135,4647.807541,4609.897258,5029.477555,5473.208564
Guam,19311.442723203796,20161.953722437327,20878.05958,21844.11054,23590.88803,25621.84516,25735.5397,26686.81682,28277.43208,29335.27768,30011.21858,30087.71559,31642.14626,32318.8909,33483.94144,34522.37793,35052.80791,35663.02504,35902.7259,37752.63308,34780.86166,35904.86355,37175.35781634247
Guyana,938.893298,937.2979922,955.0302105,976.9932633,1036.019877,1085.784887,3138.082209,3609.908509,4011.386904,4213.816229,4589.872498,4960.004726,5461.390085,5576.250215,5495.377084,5668.429765,5905.380196,6220.978568,6094.909837,6477.296726,6863.074346,9994.645704,18199.47484
High income,25190.73706,24791.189,25689.02574,28617.31024,31667.14068,33272.17819,34885.34924,37889.29521,40039.58923,37223.1862,38768.18771,41688.73484,41480.86415,41752.36192,42412.12972,39811.48018,40428.17938,42077.843,44528.16874,44725.99509,43457.69824,48535.46582,49607.24655
"Hong Kong SAR, China",25756.77287,25230.37809,24665.83623,23977.17341,24928.10037,26649.63772,28224.09516,30593.95117,31515.52921,30697.53839,32550.13649,35142.48793,36730.7962,38403.77771,40315.37395,42432.16197,43734.19807,46160.42979,48537.56689,48359.0012,46109.22999,49764.79312,48983.62172
Honduras,1079.605666,1118.940894,1119.424273,1142.81135,1201.247505,1289.823114,1409.579748,1559.886044,1713.418164,1762.34916,1874.271704,2053.959695,2107.345428,2064.550536,2164.42455,2257.225284,2295.53627,2403.306088,2457.686042,2519.366185,2354.121434,2771.722654,3040.173046
