Year,GDP
2000,5517.121715
2001,5410.749791
2002,5545.61076
2003,6138.110737
2004,6829.846305
2005,7303.74346
2006,7816.391751
2007,8700.587475
2008,9443.240891
2009,8842.426339
2010,9570.618407
2011,10485.49418
2012,10587.93714
2013,10749.96067
2014,10911.12712
2015,10168.12454
2016,10215.58544
2017,10754.92975
2018,11297.4524
2019,11338.15032
2020,10904.14761
2021,12316.10246
2022,12687.74189
